municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,province,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumCompanies_10S_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,banks_total_score,sociodemo_Score,Business_Score,Competitor_Score,sociodemo_Score_norm,Business_Score_norm,Competitor_Score_norm,hdbscan_cluster,Zone_Score
28002,4751,149.54352417627604,1741.6172792033185,4128,4.174048656446149,954.0,34.0,40.0,82.0,0.0,0.0,0.0,1.0,1.0,2.0,Ajalvir,0.0314762206222429,0.3665790947596966,0.8688697116396548,0.03563941299790356,0.041928721174004195,0.0859538784067086,Madrid,2.2974839915228347,21.846600880734638,4.067151682427122,63.8165206381067,3.9809050832564044,44.88326979916688,1.241914754236098,0.6342928567430931,24.21686242196556,1.7553098121818502,100.0,2.032570706194383,100.0,11.695906432748542,18.579325380886193,86.42993108428972,88.30409356725146,0.2298189588678453,0.4684163788274994,0.8830409356725146,1,0.40250999553015665
28004,10123,38.29300679045495,3583.988162541209,8649,3.4124682251172778,1100.0,128.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,"Álamo, El",0.0037827725763563127,0.3540440741421722,0.8543909908130001,0.11636363636363636,0.007272727272727273,0.0036363636363636364,Madrid,0.5627239113390929,0.0,8.47281142363845,57.99083127245992,8.444613387175602,35.12537210504229,1.4335844731773986,2.3879260489151743,79.06870331740798,0.35106196243637006,20.410310575633446,0.09914979054606748,5.2727272727272725,5.847953216374271,13.576151519650095,29.822524808761187,94.15204678362574,0.16726919653582933,0.1616264053802118,0.9415204678362574,1,0.24215506764584427
28005,196888,6419.666709496691,57812.172692051405,167203,3.936075968647847,104746.0,6564.0,3712.0,5897.0,7.0,1.0,12.0,1.0,9.0,30.0,Alcalá de Henares,0.032605677895538025,0.29362974224966176,0.8492290032912112,0.06266587745594104,0.03543810742176312,0.056298092528592976,Madrid,100.0,22.79189969577944,100.0,29.913084806944866,100.0,31.646463523337037,100.0,100.0,42.58125499966979,100.0,99.45413206999132,100.0,81.63223416645981,100.0,50.710842701203106,184.5151770752207,0.0,0.631527719645614,1.0,0.0,0,0.7341874738405263
28006,117041,14561.594265455047,43447.45123293079,101142,5.035894793591589,132126.0,9603.0,3015.0,5055.0,4.0,3.0,8.0,2.0,7.0,24.0,Alcobendas,0.12441447241099313,0.371215652915908,0.8641587136131783,0.07268062304164206,0.022819127196766723,0.0382589346532855,Madrid,100.0,99.63123369993907,100.0,65.97137529435524,99.76550968321594,41.70830446003607,100.0,100.0,49.386241267377805,100.0,64.04000255824775,100.0,55.47545524726398,100.0,73.2933535415815,159.396340837877,0.0,0.9138546435348547,0.8638657446205437,0.0,0,0.7999741746699293
28007,170296,3758.1885888798697,51881.3999102048,155156,3.7716803129531034,112852.0,7579.0,2603.0,5313.0,5.0,2.0,9.0,2.0,6.0,24.0,Alcorcón,0.022068566430684628,0.30465424854491474,0.9110959740686804,0.06715875660156666,0.0230656080530252,0.04707936057845674,Madrid,58.56808433479572,13.972868451984699,100.0,35.03675799787461,100.0,73.34155376781294,100.0,100.0,45.63415141394389,100.0,64.73173079698549,100.0,68.26507283876228,100.0,41.697761351744745,161.61888332873252,0.0,0.5188460275989458,0.8759110545299257,0.0,0,0.6276406869579922
28008,3227,25.4241394873744,752.7392529950681,2712,3.88355464759959,52.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Aldea del Fresno,0.007878568170862845,0.23326286116983827,0.8404090486519987,0.09615384615384616,0.0,0.019230769230769232,Madrid,0.3620561050299853,2.0965550600106853,1.702448598788995,1.8573912524936564,2.5828491313985005,25.702277150338222,0.057763476941213865,0.09327836128574898,65.33621818595913,0.0,0.0,0.02478744763651687,27.884615384615387,5.847953216374271,1.3717720129950643,18.667779875899356,94.15204678362574,0.014689842165282777,0.10117205626011525,0.9415204678362574,1,0.14628990107505485
28009,20767,1539.3726519344818,7696.926925434334,18613,4.997871485193869,9729.0,747.0,297.0,486.0,1.0,0.0,1.0,1.0,1.0,4.0,Algete,0.07412590417173794,0.37063258657650766,0.8962777483507488,0.07678075855689177,0.030527289546716005,0.04995374653098982,Madrid,23.96947389112945,57.54223654099463,18.308077975895685,65.70039342072653,18.282346087961024,63.354847601213635,12.761789985125906,13.9357871760909,52.172269692987896,13.033175355450238,85.67232584360478,12.0466995513472,72.43293246993524,23.391812865497084,33.283291915419404,89.34083849750526,76.60818713450291,0.41364819158728106,0.48419235703892244,0.7660818713450291,1,0.4806364340162945
28010,15006,1210.1592449645225,6005.674507127528,13949,4.614439405105035,4088.0,200.0,24.0,152.0,1.0,0.0,1.0,0.0,1.0,3.0,Alpedrete,0.08064502498763977,0.4002182131898926,0.9295615087298414,0.04892367906066536,0.005870841487279843,0.03718199608610567,Madrid,18.835958203358302,62.99841211143222,14.263787676397898,79.45040433787115,13.67744993014657,85.78635467586064,5.356249680003467,3.73113445142996,33.243476963501706,1.05318588730911,16.476033488158116,3.767692040750564,53.91389432485323,17.543859649122812,35.29562476755788,29.448771181387425,82.45614035087719,0.4388064101751659,0.1596008070890675,0.8245614035087719,1,0.3517393881197822
28013,59762,1605.166404751168,15337.802817654016,52003,3.8567395288161888,39456.0,2720.0,544.0,1088.0,1.0,1.0,4.0,1.0,1.0,8.0,Aranjuez,0.026859315363461197,0.25664808436220365,0.8701683343930926,0.0689375506893755,0.013787510137875101,0.027575020275750203,Madrid,24.995414071848202,17.982483863215492,36.57969723040527,12.725745619185194,51.24921630867812,45.75847335637482,51.78758269038646,50.74342853944746,46.842836071685205,23.872213445673165,38.69351254707477,26.968743028530355,39.98377939983779,46.78362573099417,18.630701823809453,70.44719300354892,53.21637426900583,0.2304612680066927,0.38179619758232647,0.5321637426900583,1,0.32873223378406446
28014,57553,623.9172792694072,16776.13874469751,45316,3.609203994271473,61490.0,3744.0,1846.0,4368.0,1.0,1.0,3.0,1.0,2.0,8.0,Arganda del Rey,0.010840742954657572,0.29149025671463713,0.7873785901690615,0.06088794926004228,0.030021141649048625,0.07103594080338266,Madrid,9.694525126787747,4.575746065534521,40.019188564871406,28.918752327593133,44.64695631568814,0.0,80.71395657499342,69.84683693076884,41.3731587125972,81.0075478321924,84.25186342267294,100.0,100.0,46.78362573099417,16.799118134991172,161.39964588159242,53.21637426900583,0.20756277844701232,0.8747228734240932,0.5321637426900583,-1,0.5402449176110034
