municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
28154,7714,113.80934554522284,2445.6297123073355,6969,3.5373987826642592,1260.0,44.0,44.0,84.0,0.0,0.0,1.0,0.0,0.0,1.0
28155,627,12.943771450602949,183.2610837438427,596,3.4129979035639404,12.0,1.0,0.0,1.0,,,,,,
28156,1701,182.3009313381653,530.8783783783787,1421,4.00900163666121,345.0,21.0,5.0,14.0,,,,,,
28157,1016,16.059014512955653,285.1739594450368,891,3.19455782312925,16.0,0.0,0.0,0.0,,,,,,
28158,1033,23.67611217417575,377.4857768052521,964,3.4323570432357,157.0,9.0,1.0,1.0,,,,,,
28159,798,11.7200309971948,255.44174135723497,739,3.43882544861338,23.0,0.0,0.0,0.0,,,,,,
28160,13453,673.2064328828258,5681.977671644533,11797,4.336597774337323,2685.0,220.0,5.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0
28161,79100,1817.013431709437,22904.785684299986,71643,3.7453014483114484,34552.0,2418.0,357.0,1004.0,2.0,1.0,5.0,1.0,2.0,11.0
28162,4396,566.2951279115039,1698.8209845968004,3946,5.4629277839599615,240.0,28.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0
28163,621,6.22098761739547,220.11472602739758,565,3.15938864628821,14.0,1.0,0.0,0.0,,,,,,
28164,4830,111.70162904919972,1678.0235208842983,4244,3.654530329918532,296.0,26.0,4.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0
28165,3104,21.00658032687238,968.3464030003407,2450,3.22408687068115,81.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
28166,532,2.52924436588599,159.0279569892474,454,3.23561643835616,18.0,1.0,0.0,0.0,,,,,,
28167,12770,348.8316487857374,4126.528138172795,11578,3.68491197112117,2568.0,114.0,96.0,126.0,0.0,0.0,1.0,0.0,0.0,1.0
28168,2124,29.04162410623082,607.4770173646571,1712,3.4765625,31.0,1.0,0.0,0.0,,,,,,
28169,2445,229.56369829485197,1022.9889042995829,2266,5.01069518716578,157.0,9.0,1.0,1.0,,,,,,
28170,3456,13.593336618688088,1042.8885172798216,3073,2.948473781053417,154.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28171,7092,44.91809212188427,2265.552219652918,5670,3.1911810770702056,508.0,20.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,2.0
28172,15866,734.9903310546441,4454.565630090132,14770,3.1441984055806373,3656.0,192.0,24.0,88.0,0.0,0.0,1.0,0.0,0.0,1.0
28173,757,14.22878441399427,247.6671408250354,668,3.1772151898734196,14.0,0.0,0.0,0.0,,,,,,
