municipality,municipality_name,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
28001,"Acebeda, La",0.0,0.0,0.0,0.0,0.0,100.0,0.1862486419369858,100.0,0.0,0.0,0.0,0.0,100.0
28002,Ajalvir,10.44498412016883,34.26265053552204,13.449074040651446,37.27184160651288,11.968542639469156,41.30852405518922,1.8624864193698587,28.78103837471784,7.0083223828296095,47.72653982586262,7.494145199063232,63.20541760722348,71.42857142857143
28003,Alameda del Valle,0.6881930720779798,50.31368428698018,0.1931006341185084,18.780551064301463,0.2941680257974187,40.44805214707109,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28004,"Álamo, El",2.6244596456348845,0.3936254750241135,28.100410524208066,33.17512162229062,25.4362251167363,33.7569583443008,6.456619587148844,100.0,2.102496714848883,14.750830564784051,0.7494145199063231,6.511627906976744,85.71428571428571
28005,Alcalá de Henares,100.0,35.643974256230635,100.0,13.430391370194384,100.0,31.064656418165697,100.0,60.34001248793779,100.0,42.3889262806218,100.0,43.08792643469376,0.0
28006,Alcobendas,100.0,100.0,100.0,38.78717062240655,100.0,38.851441583144464,100.0,64.17465220031151,100.0,29.05112627136861,100.0,30.009767429582112,0.0
28007,Alcorcón,100.0,22.75711048697209,100.0,17.033442105731726,100.0,63.3321820340745,100.0,58.85254251382479,100.0,27.27359123766757,100.0,34.11084778179701,0.0
28008,Aldea del Fresno,1.7198230284923035,5.402774332297719,5.585084854650384,0.0,7.750396568287943,26.46449402657843,0.3104144032283097,86.73469387755102,0.0,0.0,0.0,0.0,85.71428571428571
28009,Algete,100.0,86.42311818717334,60.80829268647657,38.596611739606686,55.11815128428547,55.60354311856115,45.25841999068757,73.7152034261242,52.03679369250985,37.35087182624656,42.997658079625296,38.22269807280514,42.85714285714285
28010,Alpedrete,85.00258077146394,94.39598837366458,47.358716120031566,48.26584416379151,41.22448371649649,72.96312250526144,9.933260903305912,40.96385542168675,4.204993429697766,7.641996557659208,13.489461358313818,30.361445783132528,57.14285714285714
28011,Ambite,0.3585711535220822,7.204054323692395,0.6087185803111693,0.0,1.286147292537069,24.38382488706678,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28012,Anchuelo,1.9492130178174645,21.67906366714823,3.0215624313652234,21.349356227447394,3.35649441080751,64.63264251777359,0.1241657612913239,45.94594594594595,0.1752080595707402,28.57142857142857,0.0936768149882903,18.91891891891892,100.0
28013,Aranjuez,100.0,28.616185723609668,100.0,1.3439735221524414,100.0,41.985837691777,100.0,69.22680412371133,89.70652650021901,17.43740795287187,83.93442622950819,20.206185567010312,0.0
28014,Arganda del Rey,43.79180936608203,9.02550747190835,100.0,12.73116051810976,100.0,0.0,100.0,53.479504289799806,100.0,35.775568568704884,100.0,54.38512869399428,0.0
28015,Arroyomolinos,53.14841390876488,22.346490374154357,100.0,37.282806305589496,97.14470832681695,78.07774293365767,89.46143101039888,83.73897586654816,31.887866841874725,13.153756751213509,49.55503512880562,25.316196075750323,42.85714285714285
28016,"Atazar, El",0.0,0.0,0.0,38.64691953430015,0.0,56.08260572789996,0.2483315225826478,100.0,0.0,0.0,0.0,0.0,100.0
28017,Batres,14.346970463186183,100.0,6.038388334597079,62.63369220060222,4.699985850145595,71.07753322255503,0.3724972838739717,100.0,0.0,0.0,0.0936768149882903,14.583333333333334,100.0
28018,Becerril de la Sierra,20.998441345427,54.908383017248575,18.97716123492631,45.97745188816605,16.00795370763422,49.692449847055485,0.5587459258109576,40.90909090909091,0.1752080595707402,5.653170359052711,0.1873536299765807,7.4866310160427805,85.71428571428571
28019,Belmonte de Tajo,1.7792149443349166,13.928381907851914,3.9867259103513977,19.401198532987333,4.565934597883479,72.55203148380683,0.3104144032283097,100.0,0.0,0.0,0.0,0.0,85.71428571428571
28020,Berzosa del Lozoya,0.4682958514739351,36.82444900121684,0.0304616808117342,0.0,0.2941680257974187,68.34381443367727,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28021,"Berrueco, El",0.5266869715746166,8.670977579572622,1.535088853355244,16.80241815944265,1.8491625520379515,64.1214448125278,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28022,Boadilla del Monte,100.0,100.0,100.0,55.21499886573141,100.0,71.1671823505785,100.0,75.52814772589868,100.0,18.9913556758144,100.0,26.48080012437167,0.0
28023,"Boalo, El",21.091710726581628,40.57255441979186,25.983153667901004,49.44151554337685,21.769178638188222,59.04309266324101,1.1795747322675771,46.676300578034684,0.700832238282961,12.22130470685384,0.5620608899297423,12.13872832369942,85.71428571428571
28024,Braojos,0.0993210505040938,9.073080346671691,0.3939074008463604,67.32556875702929,0.2733156087788675,71.42137998584955,0.0620828806456619,47.22222222222222,0.0,0.0,0.1873536299765807,77.77777777777779,100.0
28025,Brea de Tajo,0.3329649931113845,8.642583163152036,0.6170680638378033,0.0,1.0835809557854288,45.10840102095997,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28026,Brunete,32.6122224675437,48.19241561019896,31.82989629964989,39.60470513700496,26.085628961028323,14.574293014284065,6.208288064566196,54.48717948717948,0.0,0.0,1.873536299765808,8.974358974358974,85.71428571428571
28027,Buitrago del Lozoya,20.1498269601053,100.0,4.285846119488027,16.344998891772555,4.0833500897398665,0.0,0.0620828806456619,20.731707317073173,0.0,0.0,0.0936768149882903,17.073170731707318,85.71428571428571
