municipality,tot_pob,high,professionals,europeans,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,branch_density_per_1000,competitor,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
08001,12697,175.59334185211395,3496.703959503304,11904,2590.0,112.0,259.0,322.0,1.0,0.0,1.0,1.0,0.0,3.0,Abrera,0.013829514204309203,0.27539607462418714,0.9375443018035756,0.043243243243243246,0.1,0.12432432432432433,0.23627628573678822,97.0,12.276195708916028,12.680768029814296,27.40628848831781,7.471228411777091,35.13259903036261,77.12665236224652,6.9532826323141395,36.75675675675676,45.37888742882173,100.0,30.16393442622951,87.02702702702703,57.14285714285714
08002,287,2.478515625,114.6006944444445,281,35.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aguilar de Segarra,0.00863594294425087,0.39930555555555575,0.9790940766550522,0.11428571428571428,0.0,0.02857142857142857,0.0,100.0,0.10682546932751669,6.32904198728834,0.5103288275045359,47.96756760857678,0.5086500294168026,98.79747942080239,0.24833152258264785,97.14285714285714,0.0,0.0,0.09367681498829039,20.0,100.0
08003,10079,1134.6969099741073,4704.554796416136,9132,1836.0,124.0,36.0,60.0,1.0,0.0,1.0,1.0,0.0,3.0,Alella,0.11258030657546456,0.46676801234409526,0.9060422660978271,0.06753812636165578,0.0196078431372549,0.032679738562091505,0.29764857624764357,97.0,79.69784105819734,100.0,37.01164493071541,70.01577984078956,26.875041891016334,60.69635472015311,7.6982772000620825,57.40740740740742,6.307490144546649,20.728291316526608,5.620608899297424,22.875816993464053,57.14285714285714
08004,281,7.612781954887225,121.48496240601492,263,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alpens,0.027091750729136034,0.43233082706766873,0.9359430604982206,0.0,0.0,0.0,0.0,100.0,0.46774653679911915,28.900453656296953,0.5650755276723102,58.76095151405612,0.4550295285119566,76.29150407248073,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08005,9020,669.6934402779254,4185.108587380249,8552,2185.0,100.0,45.0,130.0,1.0,0.0,1.0,0.0,0.0,2.0,"Ametlla del Vallès, L'",0.07424539249200947,0.46398099638361967,0.9481152993348115,0.04576659038901602,0.020594965675057208,0.059496567505720827,0.22172949002217296,98.0,47.00971428849949,86.56925213578847,32.88078221326718,69.10492182706882,25.147270195193517,82.64009401517268,6.208288064566196,38.901601830663616,7.884362680683312,21.771820856489047,12.177985948477751,41.64759725400458,71.42857142857143
08006,16155,355.13838180111986,5492.940361379137,14421,3843.0,279.0,45.0,72.0,1.0,0.0,1.0,1.0,1.0,4.0,Arenys de Mar,0.021983186741016396,0.3400148784512001,0.8926648096564531,0.07259953161592506,0.0117096018735363,0.01873536299765808,0.24760136180748996,96.0,24.897587610697272,22.65269131734614,43.281230656106715,28.59007241467942,42.63053240689024,53.71916781455239,17.321123700139687,61.7096018735363,7.884362680683312,12.378721980595516,6.744730679156909,13.114754098360656,42.857142857142854
08007,9278,54.92051464960731,2513.653614436902,8661,1270.0,90.0,35.0,85.0,1.0,0.0,1.0,0.0,0.0,2.0,Arenys de Munt,0.005919434646433209,0.27092623565821317,0.933498598835956,0.07086614173228346,0.027559055118110236,0.06692913385826772,0.2155636990730761,98.0,3.793315622385422,3.0067584109207934,19.588643563453466,6.010386888105355,25.47197211733953,75.01656320640949,5.587459258109576,60.23622047244095,6.132282084975909,29.133858267716533,7.962529274004685,46.85039370078741,71.42857142857143
08008,216,2.55457949308756,103.52073732718907,212,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argençola,0.011826756912442407,0.4792626728110605,0.9814814814814815,0.1,0.0,0.0,0.0,100.0,0.11217249472555138,10.231400338368351,0.4222161779742867,74.09930924157308,0.30310477594822643,100.0,0.06208288064566196,85.00000000000001,0.0,0.0,0.0,0.0,100.0
08009,12745,344.86557483767854,6212.097961853621,12109,3672.0,252.0,162.0,270.0,1.0,0.0,1.0,1.0,1.0,4.0,Argentona,0.027058891709507926,0.4874145125032265,0.9500980776775206,0.06862745098039216,0.04411764705882353,0.07352941176470588,0.3138485680659082,96.0,24.1754450070711,28.86026714873734,49.00028542653886,76.76350945265084,35.743276957334466,83.67423792362689,15.644885922706814,58.333333333333336,28.383705650459923,46.63865546218487,25.292740046838407,51.47058823529412,42.857142857142854
08010,5902,48.92833880368143,1836.5904171026766,5278,588.0,16.0,24.0,56.0,1.0,0.0,1.0,0.0,0.0,2.0,Artés,0.008290128567211357,0.3111810262796809,0.8942731277533039,0.027210884353741496,0.04081632653061224,0.09523809523809523,0.3388681802778719,98.0,3.3720864995018363,5.906111777123649,14.204341838708325,19.166536385705413,15.394296863945426,54.55800709723412,0.9933260903305914,23.12925170068027,4.204993429697766,43.14868804664723,5.245901639344262,66.66666666666666,71.42857142857143
