municipality,municipality_name,high_Score,high_ratio_Score,professionals_Score,professionals_ratio_Score,europeans_Score,europeans_ratio_Score,NumCompanies_10S_Score,NumNewCompanies_10S_Score,growth_rate_10S_Score,NumCompanies_ML_10S_Score,companies_size_ratio_10S_Score,NumCompanies_HP_10S_Score,companies_profit_ratio_10S_Score,banks_total_Score,Competitor_Score
17001,Agullana,6.417279853286042,87.16121697293333,2.6772302232993437,19.418675104669134,2.671410331106127,27.573215382510213,0.2112709980662166,0.0,0.0,0.27352297592997854,35.53206997084544,0.26007802340702374,45.71428571428568,20.0,80.0
17002,Aiguaviva,6.749157109096521,100.0,3.413036037347931,63.11684898987997,2.6218249885333913,87.31680549631518,1.043967765688764,0.547345374931582,27.128163626679914,3.0087527352297636,87.69132653061234,2.08062418725619,82.051282051282,0.0,100.0
17003,Albanyà,0.9251683118126297,67.5254068161846,0.1749442146231198,43.056336901031074,0.1838789787072275,43.73318284449253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
17004,Albons,2.739826167709979,40.86396135080445,2.8109397408605337,38.24080845172548,2.419351506361388,45.549531685622156,0.21815278953417153,0.1368363437328955,29.388843928903203,0.0,0.0,0.0,0.0,0.0,100.0
17005,"Far d'Empordà, El",1.5334702696196463,28.808369665621957,2.1778461896336494,43.302821122500745,2.0309329895416264,91.75710497208294,2.172581566433374,1.6420361247947461,39.67493930401943,6.291028446389506,89.38536352040828,4.551365409622915,87.5,0.0,100.0
17006,Alp,14.15531145281545,100.0,10.138366691135154,94.31190679793515,5.9109860458581815,57.214787821034626,1.4568752537660605,1.915708812260537,68.57396916744098,0.0,0.0,0.5201560468140475,14.8148148148148,40.0,60.0
17007,Amer,12.912876112264742,63.85307988012483,8.148501110932152,18.266202717879885,8.460499076473,53.72916407771344,0.5278334055921438,0.273672687465791,26.12341682569175,1.3676148796498926,76.7668178382464,1.3003901170351186,98.76543209876536,20.0,80.0
17008,Anglès,32.13260035598552,67.67170977236607,19.01241207181268,13.43365477419722,18.25360423458827,5.505007130240452,3.583348817364137,1.2315270935960596,18.13711511040884,1.641137855579871,14.212827988338178,0.3901170351105356,4.5714285714285605,40.0,60.0
17009,Arbúcies,25.495537290231717,45.89797756278641,27.383123789808185,38.42176182059882,20.13784725235222,0.0,5.895630750596996,4.105090311986865,36.86405510245698,3.282275711159742,17.33271705894897,3.1209362808842847,22.299651567944238,60.0,40.0
17010,Argelaguer,1.5261709840649225,42.56906549880334,0.548481703730746,0.0,1.2664922915452868,85.65933720435129,0.4658972823805492,0.41050903119868654,44.08326589335486,1.91466083150985,100.0,0.7802340702210712,66.66666666666664,0.0,100.0
17011,"Armentera, L'",5.245410813340831,60.67112196046137,4.338698541801102,51.03890927295276,3.1342068617849916,24.79896119743533,0.19062562366235178,0.1368363437328955,33.0624494200162,0.0,0.0,0.13003901170351187,25.0,20.0,80.0
